"","seqnames","start","end","width","strand","Conc","Conc_good","Conc_poor","Fold","p.value","FDR","G08CD8_S145930","G09CD8_S145931","G48CD8_S145920","G58CD8_S145928","G70CD8_S145926","G27CD8_S145935","G44CD8_S145922","G50CD8_S145937","G52CD8_S145932","G81CD8_S145924","SYMBOL","Significance","negLog10Pval","negLog10Pval_capped","Capped"
"5","chr4",1511667,1512067,401,"*",4.63445801766955,3.91789617219243,5.11105126419872,-1.08970896222687,7.29451497363071e-05,0.414153382142857,20.13,10.12,11.71,14.61,19,38.83,22.37,31.38,49.11,31.11,"NKX1-1","Significant",4.13700357988824,4.13700357988824,"Not Capped"
"8","chr19",56507567,56507967,401,"*",5.02489198360877,5.37247250392498,4.56606003949651,0.900222395775021,0.000147906810529038,0.511610653435498,55.16,27.74,32.1,40.05,52.08,26.61,15.33,21.51,33.66,21.32,"ZNF471","Significant",3.83001182798362,3.83001182798362,"Not Capped"
"17","chr14",58331063,58331463,401,"*",4.80811945922203,5.14242879277183,4.37220746987585,0.863610801960554,0.000565091671668961,0.943636610314027,47.03,23.65,27.37,34.14,44.41,23.27,13.4,18.8,29.43,18.64,"ARID4A","Significant",3.24788109329468,3.24788109329468,"Not Capped"
"22","chr3",194134892,194135292,401,"*",4.61364669215693,4.02227981241983,5.03187575108428,-0.907160483373071,0.000805828808618267,0.999789157560756,21.64,10.88,12.59,15.71,20.43,36.76,21.17,29.7,46.49,29.45,"HES1","Significant",3.09375721051391,3.09375721051391,"Not Capped"
"25","chr19",57191340,57191740,401,"*",4.85055132812323,5.16104225708744,4.45437656221159,0.800499944704668,0.00108740957792436,0.999789157560756,47.64,23.96,27.72,34.59,44.98,24.63,14.19,19.91,31.15,19.74,"ZNF264","Significant",2.96360684604336,2.96360684604336,"Not Capped"
"35","chr5",57298243,57298643,401,"*",4.19603397831737,4.58466671953895,3.66247396332669,1.01201275757042,0.00169203994022837,0.999789157560756,31.95,16.07,18.59,23.2,30.17,14.23,8.2,11.5,17.99,11.4,"GPBP1","Significant",2.77158938975086,2.77158938975086,"Not Capped"
"59","chr19",17246119,17246519,401,"*",4.44692526257206,3.90904961440769,4.83783019770448,-0.826379810403125,0.00408973793386512,0.999789157560756,20,10.06,11.64,14.52,18.89,32.13,18.51,25.97,40.64,25.74,"NR2F6","Significant",2.38830452023782,2.38830452023782,"Not Capped"
"82","chr1",18575511,18575911,401,"*",3.83451794600766,4.23732160782452,3.2737162275693,1.05129143759784,0.00574184051358592,0.999789157560756,25.11,12.63,14.61,18.23,23.71,10.87,6.26,8.78,13.74,8.71,"PAX7","Significant",2.24094887471508,2.24094887471508,"Not Capped"
"86","chr1",151815741,151816141,401,"*",4.24634755375317,3.67657927024746,4.65372751143103,-0.873591192464029,0.00602514290176214,0.999789157560756,17.03,8.56,9.91,12.36,16.08,28.28,16.29,22.86,35.77,22.66,"RORC","Significant",2.22003264822019,2.22003264822019,"Not Capped"
"117","chr4",102598397,102598797,401,"*",4.45831560429257,3.96352931796222,4.8260592656747,-0.760748028169725,0.00788824844450391,0.999789157560756,20.77,10.45,12.09,15.08,19.61,31.87,18.36,25.76,40.31,25.54,"NFKB1","Significant",2.10301941951995,2.10301941951995,"Not Capped"
"123","chr20",2688037,2688437,401,"*",4.30458470350363,4.61622409516338,3.90653364866582,0.801745153430242,0.00826491481552037,0.999789157560756,32.66,16.42,19,23.71,30.84,16.85,9.71,13.62,21.31,13.5,"EBF4","Significant",2.08276161823774,2.08276161823774,"Not Capped"
"124","chr14",73760095,73760495,401,"*",5.66904995268716,5.28734370611612,5.97060328781157,-0.584372045871606,0.00834938279273947,0.999789157560756,52,26.15,30.26,37.75,49.1,70.46,40.59,56.94,89.11,56.45,"MIDEAS","Significant",2.07834562746426,2.07834562746426,"Not Capped"
"131","chr4",102501136,102501536,401,"*",5.30574701330284,4.91823141167121,5.61090637826257,-0.593348422540876,0.00868982465517239,0.999789157560756,40.26,20.25,23.43,29.23,38.02,54.91,31.63,44.37,69.45,44,"NFKB1","Significant",2.06098898673423,2.06098898673423,"Not Capped"
"142","chr19",32345457,32345857,401,"*",5.03313506394627,5.26630416509856,4.75487677344826,0.606508976945277,0.00937811853561859,0.999789157560756,51.25,25.77,29.82,37.2,48.39,30.33,17.47,24.52,38.37,24.31,"ZNF507","Significant",2.02788428225619,2.02788428225619,"Not Capped"
"145","chr6",42423021,42423421,401,"*",3.08653827345642,3.63128640701499,2.20086358305623,1.50232970616877,0.00951619197173164,0.999789157560756,16.5,8.3,9.6,11.98,15.58,5.17,2.98,4.17,6.53,4.14,"TRERF1","Significant",2.02153680545121,2.02153680545121,"Not Capped"
"146","chr19",37210452,37210852,401,"*",4.80642552917735,5.05449756019961,4.50665400327466,0.642286509149979,0.00953398835732737,0.999789157560756,44.25,22.25,25.75,32.12,41.78,25.54,14.71,20.64,32.3,20.46,"ZNF585B","Significant",2.02072538275842,2.02072538275842,"Not Capped"
"165","chr17",43654114,43654514,401,"*",2.69977363611082,3.34009348384374,1.51968805685101,1.8713869533091,0.0105698625447907,0.999789157560756,13.48,6.78,7.85,9.79,12.73,3.22,1.86,2.6,4.07,2.58,"MEOX1","Significant",1.9759306604151,1.9759306604151,"Not Capped"
"167","chr8",105318850,105319250,401,"*",3.66249908363982,2.96458081569901,4.13086230631136,-1.05718332516805,0.0106696048524381,0.999789157560756,10.39,5.23,6.05,7.55,9.81,19.68,11.34,15.91,24.9,15.77,"ZFPM2","Significant",1.97185166432281,1.97185166432281,"Not Capped"
"216","chrX",71095712,71096455,744,"*",5.16076957539123,5.37944724512724,4.90291980481902,0.571808942771376,0.0127882830482226,0.999789157560756,55.43,27.88,32.26,40.24,52.34,33.61,19.36,27.16,42.51,26.93,"FOXO4","Significant",1.89318775987918,1.89318775987918,"Not Capped"
"221","chr19",21569134,21569534,401,"*",4.48405323397676,4.02461444662621,4.83198063378865,-0.705661899633939,0.0132655290391644,0.999789157560756,21.67,10.9,12.61,15.73,20.46,32,18.43,25.86,40.47,25.64,"ZNF429","Significant",1.87727542534933,1.87727542534933,"Not Capped"
"223","chr20",31605073,31605473,401,"*",4.90803192135559,4.51324024425638,5.21767472830107,-0.604510349737242,0.0132856137891572,0.999789157560756,30.41,15.29,17.7,22.07,28.71,41.81,24.08,33.79,52.88,33.5,"ID1","Significant",1.87661837658782,1.87661837658782,"Not Capped"
